범죄대분류,범죄중분류,서울,부산,대구,인천,광주,대전,울산,세종
강력범죄,살인기수,67,20,13,17,11,8,12,2
강력범죄,살인미수등,96,41,23,34,7,16,11,1
강력범죄,강도,274,161,60,103,44,64,29,0
강력범죄,강간,969,383,216,304,216,181,132,3
강력범죄,유사강간,118,24,21,35,17,14,10,1
강력범죄,강제추행,4282,991,645,924,495,362,293,34
강력범죄,기타강간강제추행등,94,37,20,31,22,12,9,0
강력범죄,방화,315,117,86,94,48,41,36,5
절도범죄,절도,55280,20136,12759,10679,8438,9495,5449,638
폭력범죄,상해,7174,4675,2736,2179,1162,1516,1353,117
폭력범죄,폭행,36904,8852,6607,9774,5386,4054,4213,139
폭력범죄,체포감금,186,67,39,81,26,36,20,3
폭력범죄,협박,1844,682,443,433,297,286,175,29
폭력범죄,약취유인,45,6,6,12,5,4,1,1
폭력범죄,폭력행위등,6725,2449,1595,1988,817,1045,906,71
폭력범죄,공갈,634,558,263,222,118,94,79,4
폭력범죄,손괴,11735,3639,3019,3365,1791,1804,1530,88
지능범죄,직무유기,106,37,25,14,22,20,10,16
지능범죄,직권남용,98,28,14,12,10,14,12,2
지능범죄,증수뢰,57,15,8,11,10,3,0,1
지능범죄,통화,801,75,84,121,30,72,17,1
지능범죄,문서인장,3336,1259,691,689,455,451,346,36
지능범죄,유가증권인지,125,5,9,14,3,4,3,2
지능범죄,사기,53879,20533,11507,13141,7669,7250,5606,487
지능범죄,횡령,13314,2980,1725,2763,1416,1216,794,122
지능범죄,배임,1135,315,132,173,109,82,110,13
풍속범죄,성풍속범죄,5421,1164,933,1190,376,438,257,22
풍속범죄,도박범죄,1320,921,485,390,216,251,146,7
특별경제범죄,특별경제범죄,22075,13868,3421,5751,2535,1635,1289,187
마약범죄,마약범죄,1360,759,393,557,69,78,67,2
보건범죄,보건범죄,3941,1832,417,654,760,204,230,15
환경범죄,환경범죄,53,198,19,69,8,13,53,2
교통범죄,교통범죄,74958,35841,39725,31163,23412,13556,16600,1056
노동범죄,노동범죄,215,190,31,28,13,14,63,0
안보범죄,안보범죄,38,4,4,20,3,4,2,0
선거범죄,선거범죄,24,24,18,19,9,8,15,5
병역범죄,병역범죄,4591,959,800,1200,371,630,382,86
기타범죄,기타범죄,41752,19868,9766,13677,5301,4602,4881,462
,,,,,,,,,3660
